"Name","Server","DBFilePath","LogFolderPath","DeletedItemRetention","GC","OAB","RetainDeletedItemsUntilBackup","IndexEnabled","CircularLoggingEnabled","ProhibitSendReceiveQuota","ProhibitSendQuota","IssueWarningQuota","AllowFileRestore","BackgroundDatabaseMaintenance","IsExcludedFromProvisioning","IsSuspendedFromProvisioning","MailboxRetention","MountAtStartup","EventHistoryRetentionPeriod","AutoDagExcludeFromMonitoring","CalendarLoggingQuota","IsExcludedFromInitialProvisioning","DataMoveReplicationConstraint","RecoverableItemsQuota","RecoverableItemsWarningQuota"
"VersionNumber","2.1","6.6",,,,,,,,,,,,,,,,,,,,,,,""
"DAG-nn-DB01","SRV-nn-01","C:\ExchangeDatabases\DAG-nn-DB01\DAG-nn-DB01.db\DAG-nn-DB01.edb","C:\ExchangeDatabases\DAG-nn-DB01\DAG-nn-DB01.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB02","SRV-nn-02","C:\ExchangeDatabases\DAG-nn-DB02\DAG-nn-DB02.db\DAG-nn-DB02.edb","C:\ExchangeDatabases\DAG-nn-DB02\DAG-nn-DB02.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB03","SRV-nn-03","C:\ExchangeDatabases\DAG-nn-DB03\DAG-nn-DB03.db\DAG-nn-DB03.edb","C:\ExchangeDatabases\DAG-nn-DB03\DAG-nn-DB03.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB04","SRV-nn-04","C:\ExchangeDatabases\DAG-nn-DB04\DAG-nn-DB04.db\DAG-nn-DB04.edb","C:\ExchangeDatabases\DAG-nn-DB04\DAG-nn-DB04.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB05","SRV-nn-01","C:\ExchangeDatabases\DAG-nn-DB05\DAG-nn-DB05.db\DAG-nn-DB05.edb","C:\ExchangeDatabases\DAG-nn-DB05\DAG-nn-DB05.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB06","SRV-nn-02","C:\ExchangeDatabases\DAG-nn-DB06\DAG-nn-DB06.db\DAG-nn-DB06.edb","C:\ExchangeDatabases\DAG-nn-DB06\DAG-nn-DB06.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB07","SRV-nn-03","C:\ExchangeDatabases\DAG-nn-DB07\DAG-nn-DB07.db\DAG-nn-DB07.edb","C:\ExchangeDatabases\DAG-nn-DB07\DAG-nn-DB07.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB08","SRV-nn-04","C:\ExchangeDatabases\DAG-nn-DB08\DAG-nn-DB08.db\DAG-nn-DB08.edb","C:\ExchangeDatabases\DAG-nn-DB08\DAG-nn-DB08.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB09","SRV-nn-01","C:\ExchangeDatabases\DAG-nn-DB09\DAG-nn-DB09.db\DAG-nn-DB09.edb","C:\ExchangeDatabases\DAG-nn-DB09\DAG-nn-DB09.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB10","SRV-nn-02","C:\ExchangeDatabases\DAG-nn-DB10\DAG-nn-DB10.db\DAG-nn-DB10.edb","C:\ExchangeDatabases\DAG-nn-DB10\DAG-nn-DB10.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB11","SRV-nn-03","C:\ExchangeDatabases\DAG-nn-DB11\DAG-nn-DB11.db\DAG-nn-DB11.edb","C:\ExchangeDatabases\DAG-nn-DB11\DAG-nn-DB11.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB12","SRV-nn-04","C:\ExchangeDatabases\DAG-nn-DB12\DAG-nn-DB12.db\DAG-nn-DB12.edb","C:\ExchangeDatabases\DAG-nn-DB12\DAG-nn-DB12.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB13","SRV-nn-01","C:\ExchangeDatabases\DAG-nn-DB13\DAG-nn-DB13.db\DAG-nn-DB13.edb","C:\ExchangeDatabases\DAG-nn-DB13\DAG-nn-DB13.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB14","SRV-nn-02","C:\ExchangeDatabases\DAG-nn-DB14\DAG-nn-DB14.db\DAG-nn-DB14.edb","C:\ExchangeDatabases\DAG-nn-DB14\DAG-nn-DB14.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB15","SRV-nn-03","C:\ExchangeDatabases\DAG-nn-DB15\DAG-nn-DB15.db\DAG-nn-DB15.edb","C:\ExchangeDatabases\DAG-nn-DB15\DAG-nn-DB15.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB16","SRV-nn-04","C:\ExchangeDatabases\DAG-nn-DB16\DAG-nn-DB16.db\DAG-nn-DB16.edb","C:\ExchangeDatabases\DAG-nn-DB16\DAG-nn-DB16.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB17","SRV-nn-01","C:\ExchangeDatabases\DAG-nn-DB17\DAG-nn-DB17.db\DAG-nn-DB17.edb","C:\ExchangeDatabases\DAG-nn-DB17\DAG-nn-DB17.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB18","SRV-nn-02","C:\ExchangeDatabases\DAG-nn-DB18\DAG-nn-DB18.db\DAG-nn-DB18.edb","C:\ExchangeDatabases\DAG-nn-DB18\DAG-nn-DB18.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
